1670026973.763944,0
1670026973.870419,25
1670026973.978574,56
1670026974.087635,81
1670026974.194777,99
1670026974.300683,100
1670026974.407109,100
1670026974.531293,99
1670026974.647917,99
1670026974.761396,99
1670026974.880053,100
1670026975.002777,99
1670026975.118061,100
1670026975.225314,82
1670026975.342836,56
1670026975.450112,76
1670026975.562033,79
1670026975.670284,65
1670026975.782840,56
1670026975.906908,56
1670026976.013613,55
1670026976.137167,55
1670026976.252980,55
1670026976.360336,54
1670026976.466695,55
1670026976.597652,56
1670026976.702797,57
1670026976.809197,58
1670026976.914444,56
1670026977.019841,56
1670026977.125889,57
1670026977.250632,56
1670026977.359573,59
1670026977.467540,58
1670026977.582250,59
1670026977.693716,58
1670026977.803045,59
1670026977.921060,58
1670026978.025248,58
1670026978.130941,58
1670026978.236736,60
1670026978.353713,56
1670026978.466094,62
1670026978.578424,64
1670026978.695250,63
1670026978.802050,64
1670026978.908575,74
1670026979.014615,77
1670026979.121315,90
1670026979.234916,83
1670026979.342266,83
1670026979.470828,58
1670026979.575479,59
1670026979.682429,62
1670026979.798484,63
1670026979.909708,65
1670026980.017710,67
1670026980.123037,77
1670026980.231487,75
1670026980.338406,89
1670026980.450500,84
1670026980.556238,84
1670026980.663575,76
1670026980.786818,59
1670026980.892085,56
1670026980.998657,57
1670026981.107051,57
1670026981.224150,58
1670026981.344701,57
1670026981.458599,57
1670026981.568297,58
1670026981.676412,57
1670026981.787762,59
1670026981.895150,58
1670026982.008269,58
1670026982.122406,56
1670026982.253751,58
1670026982.368073,58
1670026982.477355,58
1670026982.614104,58
1670026982.738267,59
1670026982.842250,59
1670026982.956966,60
1670026983.069590,60
1670026983.193144,59
1670026983.323494,57
1670026983.441157,59
1670026983.644516,55
1670026983.766852,61
1670026983.883445,60
1670026983.998843,61
1670026984.124117,60
1670026984.241579,61
1670026984.360070,61
1670026984.479958,59
1670026984.587247,62
1670026984.699733,62
1670026984.810078,60
1670026984.914994,63
1670026985.025197,62
1670026985.137824,61
1670026985.245546,63
1670026985.355454,63
1670026985.485585,61
1670026985.590724,62
1670026985.696306,62
1670026985.801475,63
1670026985.908338,65
1670026986.017108,69
1670026986.122481,72
1670026986.227018,73
1670026986.338486,71
1670026986.481501,81
1670026986.592793,84
1670026986.716237,95
1670026986.825696,92
1670026986.934725,90
1670026987.060440,68
1670026987.164959,68
1670026987.271353,65
1670026987.402822,74
1670026987.516216,73
1670026987.624333,76
1670026987.732778,77
1670026987.844597,84
1670026987.969639,82
